,station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
77,7089,6,0,21,0,1738636502,False,IN_SERVICE,1,1,1,,6,0
78,7090,8,0,11,0,1738636412,False,IN_SERVICE,1,1,1,,8,0
79,7091,1,0,14,0,1738636426,False,IN_SERVICE,1,1,1,,1,0
80,7093,12,0,11,1,1738636499,False,IN_SERVICE,1,1,1,,12,0
81,7094,15,1,9,0,1738636430,True,IN_SERVICE,1,1,1,,15,0
82,7095,4,3,7,0,1738636481,False,IN_SERVICE,1,1,1,,3,1
83,7096,3,0,14,2,1738636493,False,IN_SERVICE,1,1,1,,3,0
84,7097,6,0,8,0,1738636477,False,IN_SERVICE,1,1,1,,6,0
85,7098,10,1,4,0,1738636353,False,IN_SERVICE,1,1,1,,10,0
86,7099,6,2,2,0,1738636489,False,IN_SERVICE,1,1,1,,6,0
87,7100,9,0,17,0,1738636389,False,IN_SERVICE,1,1,1,,9,0
88,7101,12,0,14,1,1738636422,False,IN_SERVICE,1,1,1,,12,0
89,7102,8,0,22,0,1738636415,False,IN_SERVICE,1,1,1,,8,0
90,7103,9,0,6,0,1738636388,False,IN_SERVICE,1,1,1,,9,0
91,7104,8,2,5,0,1738636450,False,IN_SERVICE,1,1,1,,8,0
92,7105,3,0,11,1,1738636508,False,IN_SERVICE,1,1,1,,3,0
93,7106,22,0,5,0,1738636333,False,IN_SERVICE,1,1,1,,22,0
94,7107,11,0,3,0,1738636394,False,IN_SERVICE,1,1,1,,11,0
95,7108,10,1,4,0,1738636346,False,IN_SERVICE,1,1,1,,10,0
96,7109,15,0,17,0,1738636334,False,IN_SERVICE,1,1,1,,15,0
97,7110,9,1,5,0,1738636354,False,IN_SERVICE,1,1,1,,9,0
98,7111,0,1,10,0,1738636478,False,IN_SERVICE,1,1,1,,0,0
99,7112,4,1,13,1,1738636462,False,IN_SERVICE,1,1,1,,4,0
100,7113,5,0,10,0,1738636437,False,IN_SERVICE,1,1,1,,5,0
101,7114,24,0,1,0,1738636352,False,IN_SERVICE,1,1,1,,24,0
102,7115,6,0,25,0,1738636426,False,IN_SERVICE,1,1,1,,6,0
103,7116,3,0,16,0,1738636366,False,IN_SERVICE,1,1,1,,3,0
104,7117,10,1,7,0,1738636436,False,IN_SERVICE,1,1,1,,9,1
105,7118,8,0,10,0,1738636438,False,IN_SERVICE,1,1,1,,8,0
106,7119,4,0,10,1,1738636419,False,IN_SERVICE,1,1,1,,4,0
107,7120,5,1,3,0,1738636363,False,IN_SERVICE,1,1,1,,5,0
108,7121,22,0,5,0,1738636352,False,IN_SERVICE,1,1,1,,22,0
109,7122,1,0,14,0,1738636506,False,IN_SERVICE,1,1,1,,1,0
110,7123,7,2,5,0,1738636406,False,IN_SERVICE,1,1,1,,7,0
111,7124,3,1,15,0,1738636348,False,IN_SERVICE,1,1,1,,3,0
